date,close,returns,brownian_noise,wave_persistence,compression,surface_tension,capillary_score,capillary_regime,cruise_integrity,pinch_off_risk,canopyento_regime,canopyento_score,canopyento_rupture_prob,combined_read
2016-06-13,208.4492,,,,,0.0,,,,1.0,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-14,208.04,-0.001963068219978714,,,,0.0,,,,1.0,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-15,207.75,-0.0013939626994807774,,,,0.0,,,,1.0,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-16,208.37,0.0029843561973526,,,,0.0,,,,1.0,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-17,206.52,-0.00887843739501848,,,,0.0,,,,1.0,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-20,207.85,0.00644005423203553,,0.723973033040339,,0.0,,,,0.8619865165201694,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-21,208.44,0.0028385855184027697,,0.6426121824751261,,0.0,,,,0.821306091237563,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-22,208.1,-0.0016311648436000414,,0.6691290233048297,,0.6581189812591491,,,,0.5055050210228402,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-23,210.81,0.01302258529553102,0.6317807317994176,0.47235031529392835,,0.5010749031595382,,,,0.4856377060671951,IDLE,,,Capillary and CanopyEnto signals are mixed; monitor for regime handoff.
2016-06-24,203.13,-0.03643090934965143,0.6903431436407472,0.8608470848697688,0.0,0.3551032414734599,0.0,ABSORBING_NOISE,0.3551032414734599,0.37643596084907727,IDLE,,,Brownian layer is quiet; microscopic noise is dissipating normally.
2016-06-27,199.6,-0.017378033771476398,0.6905692979313485,0.7356794595943728,0.09999999999999998,0.22343499997348565,0.46691509865426345,SURFACE_RIPPLING,0.11910982491805026,0.5197898895687876,IDLE,,,Surface rippling detected; micro-disturbances are beginning to persist.
2016-06-28,203.1997,0.018034569138276613,0.7525422104634113,0.7326756711926411,0.2727272727272727,0.42018928868416716,0.734885118995445,PINCH_OFF_WATCH,0.11139843326889161,0.580024693557798,IDLE,,,Pinch-off watch: compression and wave persistence are elevated.
2016-06-29,206.66,0.017029060574400345,0.8048195234020451,0.7136388471692204,0.25,0.5561538850174553,0.5301701165642099,SURFACE_RIPPLING,0.26129771497011284,0.48441376967899374,IDLE,,,Surface rippling detected; micro-disturbances are beginning to persist.
2016-06-30,209.475,0.013621407142165864,0.8143468440311036,0.6982539410185931,0.23076923076923073,0.43336574479129863,0.6217837407578897,SURFACE_RIPPLING,0.16390597087863604,0.5293602919386037,IDLE,,,Surface rippling detected; micro-disturbances are beginning to persist.
2016-07-01,209.9208,0.0021281775868242647,0.5114665415778528,0.6734550158599337,0.9285714285714286,0.423752243219662,1.0,CAPILLARY_RUPTURE_RISK,0.0,0.7945685503029251,IDLE,,,Capillary rupture risk: microscopic instability may precede macro release.
2016-07-05,208.41,-0.007197000011432975,0.3858309941474826,0.670957618920219,0.8666666666666667,0.5009394762775405,0.9197128662712497,CAPILLARY_RUPTURE_RISK,0.04021899472190503,0.7390994188951487,IDLE,,,Capillary rupture risk: microscopic instability may precede macro release.
2016-07-06,209.66,0.005997792812244995,0.34906606487736996,0.6378948456903939,0.25,0.44913168764632555,0.25451668626753227,CRUISE_SURFACE_ACTIVE,0.3348201788088384,0.42331996107790015,IDLE,,,Cruise surface is active but still absorbing small disturbances.
2016-07-07,209.526,-0.0006391300200323524,0.29065876860986406,0.6886957873872268,0.47058823529411764,0.46268040503001395,0.41808447390035486,CRUISE_SURFACE_ACTIVE,0.2692409113090375,0.5286720228879214,IDLE,,,Cruise surface is active but still absorbing small disturbances.
2016-07-08,212.65,0.014909844124356919,0.3067820546740907,0.7587598979161299,0.38888888888888884,0.33050497733351736,0.5624385466364207,SURFACE_RIPPLING,0.14461623822595068,0.5948955890269805,IDLE,,,Surface rippling detected; micro-disturbances are beginning to persist.
2016-07-11,213.4,0.0035269221725839905,0.31482964862792234,0.6510974507325733,1.0,0.30870480184369764,1.0,CAPILLARY_RUPTURE_RISK,0.0,0.8355981622222188,IDLE,0.0,0.0,Capillary rupture risk: microscopic instability may precede macro release.
