Date,Close,macd_regime,rsi_saturation,cvd_regime,volume_injection,vwap_distance_pct,gamma_flip_distance_pct,regime_label,rupture_pressure_score,T_a,T_a_norm,T_a_regime,R_o,T_v,observer_profile,LRP,LRP_raw,LRP_regime,LRP_confidence,lrp_contrib_T_a,lrp_contrib_observer,lrp_contrib_gamma,lrp_contrib_vwap,lrp_contrib_cvd,lrp_contrib_macd,d_macd_pressure,d_rsi_energy,d_cvd_force,d_volume_energy,d_vwap_attractor_distance,d_gamma_flip_distance,d_canopy_pressure,d_observability_R_o,d_visibility_horizon_T_v,dd_canopy_pressure,dd_observability_R_o,dd_coherence_proxy,d_R_o,d_T_v,d_vwap_distance
2016-06-15,207.75,,,,,,-256.1973525872443,IDLE,,,,,,,,0.1646539598093883,0.094,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-16,208.37,,,,,,-255.1374958007391,IDLE,,,,,,,,0.1646539598093883,0.094,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059856786505236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-17,206.52,,,,,,-258.3188068952159,IDLE,,,,,,,,0.1646539598093883,0.094,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1813110944768255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-20,207.85,,,,,,-256.02598027423625,IDLE,,,,,,,,0.1646539598093883,0.094,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2928266209796675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-21,208.44,,,,,,-255.018230665899,IDLE,,,,,,,,0.1646539598093883,0.094,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0077496083372353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-22,208.1,,,IMBALANCE_BUILDING,,,-255.59827006246996,IDLE,,,,,,,,0.17723971480015066,0.11620956211634985,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.023627193740797726,0.0,0.0,0.0,0.17720395305598294,0.0,0.0,-0.5800393965709532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-23,210.81,,,FORCE_BALANCED,,,-251.0269911294531,IDLE,,,,,,,,0.17040144413312858,0.10430379329088182,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.010961482224342374,0.0,0.0,0.0,-0.09499283637341513,0.0,0.0,4.571278933016856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-24,203.13,,,IMBALANCE_BUILDING,,,-264.29872495446267,IDLE,,,,,,,,0.18364161510405536,0.12703316464190548,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.03514166451266541,0.0,0.0,0.0,-0.3457736005275584,0.0,0.0,-13.271733825009562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-27,199.6,,,SELL_FORCE_DOMINANT,,,-270.7414829659319,IDLE,,,,,,,,0.21828937059365314,0.18108423442276578,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.0,0.09264280257741038,0.0,0.0,0.0,-0.43125853548558724,0.0,0.0,-6.442758011469209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-28,203.1997,,,SELL_FORCE_DOMINANT,1.0874153213216988,-1.1501850153343147,-264.1737660045758,IDLE,,,,,,,,0.2474090514634708,0.22188029861966901,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.05750925076671574,0.07592859319397872,0.0,0.0,0.0,0.12535657037573744,0.0,-1.1501850153343147,6.567716961356098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1501850153343147
2016-06-29,206.66,,,IMBALANCE_BUILDING,0.9411611758286572,0.5105744714535412,-258.0760669699023,IDLE,,,,,,,,0.1970363193796009,0.1487696476919801,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.025528723572677058,0.03393464251997789,0.0,0.0,0.0,0.31495463005500623,-0.1462541454930416,1.660759486787856,6.0976990346734965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.660759486787856
2016-06-30,209.475,,,IMBALANCE_BUILDING,1.113011165519693,1.7458877626608655,-253.2641126626089,IDLE,,,,,,,,0.23117674300486657,0.19958035774154176,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.08729438813304327,0.02200557968061532,0.0,0.0,0.0,0.08946797129521927,0.17184998969103582,1.2353132912073244,4.811954307293377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2353132912073244
2016-07-01,209.9208,,,BUY_FORCE_DOMINANT,0.737474850544836,1.8496123679092202,-252.5139004805622,IDLE,,,,,,,,0.2523106352893354,0.22841835105162397,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.09248061839546101,0.058943828312481655,0.0,0.0,0.0,0.6071205599482272,-0.37553631497485707,0.1037246052483547,0.7502121820467096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037246052483547
2016-07-05,208.41,,,BUY_FORCE_DOMINANT,0.7749598366320919,1.054411767959565,-255.06933448490958,IDLE,,,,,,,,0.24451356530795812,0.2179772407651812,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.05272058839797825,0.08602901887888816,0.0,0.0,0.0,0.20313892924804883,0.03748498608725592,-0.7952005999496552,-2.5554340043473758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7952005999496552
2016-07-06,209.66,,ENERGY_ACCUMULATING,BUY_FORCE_DOMINANT,0.6929267659797173,1.6012406849605612,-252.9523991223886,IDLE,,,,,,,,0.2542745062599287,0.23101421378136563,STABLE,LOW_CONFIDENCE,0.0,0.1,0.0,0.08006203424802805,0.07572482705826128,0.0,0.0,0.22916746832545626,-0.0772814386547016,-0.08203307065237464,0.5468289170009961,2.1169353625209624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5468289170009961
