Date,Open,High,Low,Close,Volume,rolling_high,rolling_low,upper_boundary_test,lower_boundary_test,boundary_test,boundary_tests_count,B_s,rolling_avg_volume,E_i,rupture_pressure_score,regime_label,regime_persistence,T_a,T_a_norm,T_a_regime,R_o,T_v,observer_profile,direction_score,timing_score,magnitude_score,volatility_score,packet_completion_confidence,absorption_confidence,hidden_process_uncertainty,continuation_probability,rupture_probability,stance_confidence,gate_stance,direction_bias,trade_permission,stance_quadrant,recommended_action
2016-06-15,208.54,209.36,207.53,207.75,108745400.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-16,206.73,208.57,205.59,208.37,149194500.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-17,207.17,207.2,205.75,206.52,116531100.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-20,208.82,209.61,207.75,207.85,81546570.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-21,208.3,208.92,207.78,208.44,72259730.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-22,208.65,209.5,207.93,208.1,94503660.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-23,209.81,210.87,209.27,210.81,99651290.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-24,203.63,210.8463,202.72,203.13,332774500.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-27,201.59,201.6,198.65,199.6,247488400.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-28,201.48,203.23,201.12,203.1997,158940500.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-29,204.84,206.93,204.72,206.66,136758800.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,207.21,209.54,206.56,209.475,163408900.0,,,False,False,False,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,
